method,epsilon,cosine_similarity
fgsm,0.001,0.6891734004020691
fgsm,0.001,0.9589758539810285
fgsm,0.001,0.5974671422680363
fgsm,0.001,0.8395809781426486
fgsm,0.001,0.9296495914459229
fgsm,0.001,0.6378430940006331
fgsm,0.001,0.7182187652057045
fgsm,0.001,0.8218564391136169
fgsm,0.001,0.660402238368988
fgsm,0.001,0.5257208033966548
fgsm,0.001,0.7792949544963227
fgsm,0.001,0.6615670525093655
fgsm,0.001,0.8246057033538818
fgsm,0.001,0.6147897243499756
fgsm,0.001,0.7733504176139832
fgsm,0.001,0.9400649666786194
fgsm,0.001,0.7157024910627323
fgsm,0.001,0.7734239927954675
fgsm,0.001,0.6566416025161743
fgsm,0.001,0.4894958880393474
fgsm,0.001,0.7458126837983999
fgsm,0.001,0.7117906808853149
fgsm,0.001,0.9193929707823093
fgsm,0.001,0.8059254288673401
fgsm,0.001,0.26702472364607965
fgsm,0.001,-0.016355635598301888
fgsm,0.001,0.49112588114296774
fgsm,0.001,0.569436363048991
fgsm,0.001,0.30477322056213696
fgsm,0.001,0.42550337314605713
